"10;110"
"10;75"
"10;75"
"0;75"
"0;75"
"0;10"
"0;10"
"35;10"
"35;10"
"35;20"
"35;20"
"95;20"
"105;20"
"165;20"
"165;20"
"165;10"
"165;10"
"200;10"
"200;10"
"200;75"
"200;75"
"190;75"
"190;75"
"190;110"
"190;110"
"165;110"
"165;110"
"165;100"
"165;100"
"110;100"
"110;100"
"110;105"
"110;105"
"115;105"
"115;105"
"115;120"
"115;120"
"85;120"
"85;120"
"85;105"
"85;105"
"90;105"
"90;105"
"90;100"
"90;100"
"35;100"
"35;100"
"35;110"
"35;110"
"10;110"
"75;20"
"75;25"
"125;20"
"125;25"
"30;25"
"30;40"
"75;35"
"75;40"
"125;35"
"125;40"
"0;40"
"5;40"
"10;40"
"35;40"
"37;40"
"68;40"
"70;40"
"95;40"
"105;40"
"120;40"
"125;40"
"175;40"
"140;50"
"160;50"
"35;40"
"35;75"
"85;50"
"85;60"
"95;40"
"95;60"
"105;40"
"105;60"
"140;50"
"140;60"
"160;50"
"160;70"
"175;40"
"175;75"
"35;60"
"85;60"
"90;60"
"95;60"
"105;60"
"140;60"
"90;60"
"90;75"
"110;60"
"110;66"
"110;68"
"110;75"
"140;70"
"140;75"
"140;70"
"150;70"
"152;70"
"160;70"
"10;75"
"13;75"
"15;75"
"35;75"
"110;75"
"140;75"
"165;75"
"185;75"
"187;75"
"190;75"
"90;80"
"90;90"
"110;80"
"110;90"
"110;80"
"140;80"
"140;80"
"140;100"
"165;75"
"165;80"
"10;85"
"13;85"
"15;85"
"35;85"
"35;85"
"35;100"
"90;90"
"110;90"
"165;90"
"165;100"
